user_id,n,med_deltae,stopped_share,age,gender
Y33O48,14,0.0,0.42857142857142855,23.145790554414784,female
Y3XRTK,19,0.0,0.10526315789473684,34.0041067761807,male
Y8PIHO,32,0.0,0.0625,25.097878165639973,female
YA9QO8,25,0.0,0.32,22.954140999315538,male
YGAEXF,25,0.0,0.28,24.36413415468857,female
YK0VXR,1,19.25,1.0,57.686516084873375,female
YKCP88,10,0.0,0.2,36.33127994524298,female
YO9ZRM,9,0.0,0.0,31.351129363449694,female
YP6Q8F,4,0.0,0.0,24.476386036960985,female
YQ7WS9,5,0.0,0.0,,male
YRGKBL,1,0.0,0.0,20.859685147159478,female
Z6LD2O,12,0.0,0.08333333333333333,22.65571526351814,female
Z6WYU8,12,2.74,0.5,40.61327857631759,female
Z8IMAK,13,0.0,0.15384615384615385,24.908966461327857,male
Z9XWND,29,0.0,0.27586206896551724,31.874058863791923,female
ZD2M0O,5,0.0,0.4,33.765913757700204,female
ZFDDRJ,26,0.0,0.34615384615384615,21.88911704312115,female
ZGH9ZG,124,0.0,0.3467741935483871,34.521560574948666,female
ZOTHO8,9,2.29,0.6666666666666666,28.309377138945926,female
