drop_white,drop_black,drop_red,drop_yellow,drop_blue,total_drops,band,skin_zone,R,G,B,L,a,b
14,3,1,2,2,22,22,1,189,182,172,74.35,0.71,5.97
16,0,3,3,0,22,22,0,255,207,166,86.33,11.41,26.78
19,0,0,3,0,22,22,0,255,255,202,98.85,-8.33,25.41
0,18,1,2,2,23,23,0,24,22,20,7.39,0.49,1.62
0,13,0,0,10,23,23,0,7,1,96,8.23,38.26,-51.72
1,14,4,4,0,23,23,0,86,53,15,25.44,11.16,28.77
1,8,8,3,3,23,23,0,121,43,38,29.25,33.71,21.17
3,0,2,0,18,23,23,0,43,26,237,32.62,70.16,-97.12
6,0,0,0,17,23,23,0,40,65,255,40.33,58.56,-94.46
5,7,4,4,3,23,23,1,135,97,76,44.55,12.59,18.05
1,2,4,8,8,23,23,1,117,104,81,44.63,1.29,14.86
3,7,6,6,1,23,23,0,158,93,42,46.0,22.19,39.5
0,7,7,9,0,23,23,0,166,89,16,46.03,26.98,50.72
4,4,11,3,1,23,23,0,200,66,52,47.53,52.35,37.78
3,5,4,7,4,23,23,1,138,111,65,48.45,4.56,29.48
6,5,4,4,4,23,23,1,145,108,95,48.97,12.84,13.01
11,8,3,1,0,23,23,1,167,121,113,55.16,16.83,11.48
4,2,4,8,5,23,23,1,160,134,81,57.19,2.77,32.09
9,2,5,3,4,23,23,1,182,123,126,57.67,23.41,7.75
6,2,5,6,4,23,23,1,179,128,92,57.84,15.36,27.31
11,0,9,0,3,23,23,0,223,99,143,58.6,52.68,-0.08
10,6,1,3,3,23,23,1,144,146,130,59.98,-3.71,8.24
10,3,3,3,4,23,23,1,168,139,138,60.45,10.79,4.65
5,0,10,8,0,23,23,0,255,122,61,66.15,46.94,55.54
15,0,8,0,0,23,23,0,255,144,158,72.01,43.23,11.25
18,0,0,0,5,23,23,0,179,197,255,80.03,6.74,-30.48
18,0,4,0,1,23,23,0,245,182,201,80.23,25.57,-0.61
12,0,0,6,5,23,23,0,180,215,161,82.31,-21.33,22.94
0,17,5,2,0,24,24,0,62,22,3,13.26,18.3,18.92
0,4,0,3,17,24,24,0,21,42,159,24.69,38.03,-64.5
2,9,4,3,6,24,24,0,83,53,73,26.35,17.01,-6.81
0,11,0,8,5,24,24,0,54,89,46,34.24,-22.16,20.94
5,6,5,4,4,24,24,1,139,91,82,43.63,18.56,13.28
5,10,0,5,4,24,24,0,89,116,83,45.96,-16.75,15.13
0,10,3,11,0,24,24,0,125,110,15,46.37,-4.04,49.16
6,7,2,5,4,24,24,1,124,120,91,50.07,-3.51,16.52
0,7,0,12,5,24,24,0,86,135,48,51.29,-32.19,40.43
4,1,4,8,7,24,24,1,149,131,95,55.53,1.33,22.0
15,7,2,0,0,24,24,1,180,145,153,63.55,14.44,0.77
13,4,3,2,2,24,24,1,187,149,145,65.05,13.6,7.53
12,2,5,3,2,24,24,1,212,146,131,66.67,23.07,18.03
9,5,0,6,4,24,24,0,141,172,117,66.86,-20.77,24.91
15,4,4,1,0,24,24,1,215,153,147,69.0,22.42,12.42
4,3,1,12,4,24,24,0,155,181,66,69.76,-25.39,53.82
13,0,0,3,8,24,24,0,144,181,214,72.11,-4.61,-20.65
14,0,3,3,4,24,24,1,204,174,172,73.6,10.52,5.06
5,4,2,13,0,24,24,0,206,189,43,75.88,-8.99,69.54
17,0,6,1,0,24,24,0,255,171,168,78.0,30.47,14.21
18,0,0,3,3,24,24,0,211,228,208,88.87,-9.28,7.83
17,0,0,7,0,24,24,0,255,255,150,98.03,-14.53,50.05
0,11,5,0,9,25,25,0,48,1,78,10.56,36.27,-35.46
0,10,1,0,14,25,25,0,15,0,128,13.59,47.7,-63.66
0,13,9,0,3,25,25,0,82,6,23,15.42,34.04,12.3
1,16,0,4,4,25,25,0,37,54,44,20.88,-9.54,4.07
4,9,3,0,9,25,25,0,67,36,125,23.46,35.92,-45.29
1,5,5,3,11,25,25,0,78,42,103,24.5,29.04,-29.44
1,0,8,0,16,25,25,0,83,2,156,24.58,57.82,-62.68
0,3,0,5,17,25,25,0,31,65,148,29.93,19.28,-49.18
1,8,1,7,8,25,25,0,66,90,76,35.97,-12.38,5.17
0,0,19,0,6,25,25,0,178,9,43,37.55,61.0,30.68
0,4,0,8,13,25,25,0,48,97,107,38.27,-13.46,-10.76
7,0,8,0,10,25,25,0,144,53,160,39.6,53.29,-40.31
3,1,5,7,9,25,25,1,131,104,100,46.51,10.12,6.35
8,9,2,3,3,25,25,1,124,111,100,47.72,3.12,7.98
2,0,0,8,15,25,25,0,65,127,145,49.91,-14.64,-15.83
6,2,6,6,5,25,25,1,173,117,93,54.45,19.13,22.15
10,3,4,3,5,25,25,1,164,126,136,56.68,16.29,0.28
5,2,11,6,1,25,25,0,228,97,60,57.44,48.83,45.67
9,2,5,5,4,25,25,1,187,136,112,61.08,16.38,20.57
13,0,0,1,11,25,25,0,112,146,254,62.64,18.89,-57.47
3,2,3,12,5,25,25,0,160,157,66,63.33,-11.08,46.91
15,4,4,1,1,25,25,1,204,147,151,66.48,22.06,6.44
16,0,0,1,8,25,25,0,147,175,250,72.07,8.97,-40.28
17,4,3,1,0,25,25,1,215,169,162,73.18,15.81,10.06
3,2,4,15,1,25,25,0,219,175,40,73.47,3.87,68.79
9,2,1,9,4,25,25,0,177,194,105,75.42,-19.44,42.61
13,0,0,5,7,25,25,0,160,199,184,77.15,-15.98,3.24
19,0,1,2,3,25,25,0,215,212,212,85.14,1.02,0.36
0,15,3,2,6,26,26,0,40,21,49,10.63,15.93,-14.83
0,12,0,2,12,26,26,0,16,24,100,13.73,27.01,-45.24
3,16,5,0,2,26,26,0,76,27,45,17.96,25.26,-0.22
0,11,1,4,10,26,26,0,35,44,81,19.02,8.41,-23.91
1,0,13,0,12,26,26,0,124,8,106,28.12,53.51,-25.16
3,5,9,2,7,26,26,0,128,44,83,31.84,40.1,-4.43
0,8,13,5,0,26,26,0,169,44,8,38.3,49.36,47.93
