user_id,target_r,target_g,target_b,achieved_r,achieved_g,achieved_b,tL,ta,tb,aL,aa,ab,tC,aC,delta_e_stored,delta_e_recon,skip_perception,mixing_model
J4W7CV,208,176,148,212,176,146,73.93316011294016,7.415254702891949,18.655562937497415,74.26932757891807,8.70568029013874,20.26071803229903,20.075259172017887,22.051883468276294,1.264147092842582,1.2641470928425407,identical,
J4W7CV,162,60,54,162,61,51,39.88403325581927,41.83881088037184,25.97961086623297,40.01441629585377,41.19222748059606,27.93856403960796,49.248617002352574,49.77311488553281,1.2823447088166324,1.2823447088166324,acceptable,
J4W7CV,80,62,41,82,62,40,27.60312812375011,4.6397760176526415,15.887421040457694,27.82502028478767,5.488824107099305,16.85199177069726,16.551062467731864,17.72334101455825,0.9718289454546586,0.9718289454546586,acceptable,
J4W7CV,242,166,129,243,165,123,74.65919679015974,23.89775182882087,30.462523472103143,74.44373868799137,24.25439679801311,33.399334753650336,38.717797958566116,41.277007231894416,1.4192014718773582,1.4192014718773664,acceptable,
J4W7CV,144,121,101,143,122,99,52.446989629780816,5.735482127394609,14.291127102190938,52.5754710388085,4.459936913118467,15.610862284090832,15.399093125396682,16.235456831325884,1.917183224666934,1.917183224666909,unacceptable,
0TFA3Q,88,68,44,87,68,45,30.378404117455958,5.046499480456296,17.786170265231604,30.279326480865464,4.6878360318179375,17.014248977496038,18.488239767756543,17.648242828379132,0.5158014735490386,0.5158014735490386,identical,
0TFA3Q,80,62,41,79,62,39,27.60312812375011,4.6397760176526415,15.887421040457694,27.447048351317257,3.9094454137128807,16.922567045021452,16.551062467731864,17.368276795239268,1.1837664603474762,1.1837664603474762,unacceptable,
J4W7CV,57,42,22,58,42,21,18.29358099732808,3.990044135694287,15.661561746256043,18.407818554461706,4.407609699839665,16.478147213262957,16.161836793402504,17.057442916453994,0.597191192893284,0.5971911928932733,acceptable,
J4W7CV,204,80,66,204,80,69,50.65326544544398,48.35770723192168,33.66474533800192,50.69576990675361,48.527393669083764,32.00166051204939,58.921837440806044,58.12928876085353,0.9095216112466904,0.9095216112466947,acceptable,
J4W7CV,255,131,82,255,131,75,68.09890261547581,43.488640907712764,47.38720241262939,68.024406253039,43.13588229836823,50.81069890189788,64.3180288915596,66.65156760765649,1.6464717457021012,1.6464717457021012,identical,
J0S90R,208,176,148,234,200,131,73.93316011294016,7.415254702891949,18.655562937497415,82.07759278266606,3.0073991139731304,38.88973935128463,20.075259172017887,39.00584925676639,12.161033555339516,12.161033555339579,,
